BookID,BookTitle,AuthorName,BookPrice,BookPublisher,BookPublicationDate,BookQuantity
155,Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,26.15,Kensington Publishing Corp.,"Mar 1, 2009",1
156,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,33.38,Tim Duggan Books,"Feb 28, 2017",10
157,No Mercy: The brand new novel from the Queen of Crime,Martina Cole,98.42,Hachette UK,"Oct 15, 2019",15
158,A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,33.42,Macmillan,"Apr 20, 2010",14
159,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,32.51,Pan Macmillan,"Sep 1, 2009",15
160,My Little Pony: Friendship is Magic #45,Thom Zahler,15.72,IDW Publishing,"Aug 31, 2016",1
161,Antiques Knock-Off,Barbara Allan,73.67,Kensington Publishing Corp.,"Apr 1, 2012",18
162,Thrawn (Star Wars),Timothy Zahn,39.34,Del Rey,"Apr 11, 2017",7
163,Death in an Elegant City: An English Village Murder Mystery,Sara Rosett,19.65,Sara Rosett,"Apr 30, 2016",2
164,The Joker,Brian Azzarello,78.73,DC,"Nov 4, 2008",4
165,The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,32.51,Pan Macmillan,"Sep 1, 2009",17
166,Platform: Get Noticed in a Noisy World,Michael Hyatt,73.92,HarperCollins Leadership,"May 21, 2012",11
167,The Guardians: A Novel,John Grisham,71.63,Doubleday,"Oct 15, 2019",18
168,Shantaram,Gregory David Roberts,55.1,Hachette UK,"Jun 28, 2012",11
169,The Burning White: Book Five of Lightbringer,Brent Weeks,98.42,Hachette UK,"Oct 22, 2019",19
170,Dead Silent,Shirley Wells,8.85,Harlequin,"Aug 22, 2011",8
171,Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,70.7,W. W. Norton & Company,"Mar 28, 2016",13
172,The Man in the High Castle,Philip K. Dick,55.17,Houghton Mifflin Harcourt,"Jan 24, 2012",17
173,Total Control,David Baldacci,41.82,Pan Macmillan,"Nov 4, 2011",11
174,Antiques Knock-Off,Barbara Allan,73.67,Kensington Publishing Corp.,"Apr 1, 2012",3
175,"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,51.16,Hachette UK,"Apr 22, 2010",17
176,Shall We Tell the President?,Jeffrey Archer,41.82,Pan Macmillan,"Apr 1, 2011",14
177,The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,43.28,Hachette UK,"May 19, 2016",16
178,Death in an Elegant City: An English Village Murder Mystery,Sara Rosett,19.65,Sara Rosett,"Apr 30, 2016",1
179,"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,14.96,Morgan Rice,"Aug 3, 2016",11
180,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,53.11,Abrams,"Nov 5, 2019",4
181,Auberon,James S. A. Corey,11.78,Hachette UK,"Nov 12, 2019",1
182,Watching (The Making of Riley Paige—Book 1),Blake Pierce,0,Blake Pierce,"May 15, 2018",20
183,The Mysterious Affair at Styles (Poirot),Agatha Christie,19.28,HarperCollins UK,"Oct 14, 2010",20
184,15 Delicious Slow Cooker Recipes,Sallie Stone,0,BookRix,"Oct 28, 2019",2
185,Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,35.44,Harper Collins,"Feb 18, 2014",4
187,Dark Age,Pierce Brown,71.63,Del Rey,"Jul 30, 2019",1
188,Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,55.47,Random House,"Sep 22, 2016",12
189,Marvel Universe Vs. The Punisher: Volume 1,Jonathan Maberry,27.53,Marvel Entertainment,"Jan 5, 2011",10
190,It,Stephen King,19.65,Simon and Schuster,"Jan 1, 2016",1
191,War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,0,Simon and Schuster,"Apr 8, 2014",11
